keyword,cluster,intent,competition,trend,relevance_1to10,product,priority_1to5,source,confidence
price list template excel,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,format variants,3,constructed from harvested roots,CONSTRUCTED
price list digital download,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,format variants,3,constructed from harvested roots,CONSTRUCTED
price list instant download,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,format variants,3,constructed from harvested roots,CONSTRUCTED
sales tracker google sheets,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,format variants,3,constructed from harvested roots,CONSTRUCTED
sales tracker excel,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,format variants,3,constructed from harvested roots,CONSTRUCTED
sales tracker template google sheets,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,format variants,3,constructed from harvested roots,CONSTRUCTED
sales tracker template excel,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,format variants,3,constructed from harvested roots,CONSTRUCTED
sales tracker digital download,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,format variants,3,constructed from harvested roots,CONSTRUCTED
sales tracker instant download,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,format variants,3,constructed from harvested roots,CONSTRUCTED
client database google sheets,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,format variants,3,constructed from harvested roots,CONSTRUCTED
client database excel,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,format variants,3,constructed from harvested roots,CONSTRUCTED
client database template google sheets,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,format variants,3,constructed from harvested roots,CONSTRUCTED
client database template excel,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,format variants,3,constructed from harvested roots,CONSTRUCTED
client database digital download,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,format variants,3,constructed from harvested roots,CONSTRUCTED
client database instant download,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,format variants,3,constructed from harvested roots,CONSTRUCTED
tax year 2026 27 spreadsheet,SEASONAL,buyer,UNKNOWN,rising apr,7,seasonal editions,2,constructed from harvested roots,CONSTRUCTED
2026 27 bookkeeping template,SEASONAL,buyer,UNKNOWN,rising apr,7,seasonal editions,2,constructed from harvested roots,CONSTRUCTED
self assessment 2025 26,SEASONAL,buyer,UNKNOWN,seasonal jan,7,seasonal editions,2,constructed from harvested roots,CONSTRUCTED
january tax return help,SEASONAL,buyer,UNKNOWN,seasonal jan,7,seasonal editions,2,constructed from harvested roots,CONSTRUCTED
new tax year planner,SEASONAL,buyer,UNKNOWN,seasonal apr,7,seasonal editions,2,constructed from harvested roots,CONSTRUCTED
year end accounts template,SEASONAL,buyer,UNKNOWN,seasonal,7,seasonal editions,2,constructed from harvested roots,CONSTRUCTED
2027 budget spreadsheet,SEASONAL,buyer,UNKNOWN,seasonal dec-jan,7,seasonal editions,2,constructed from harvested roots,CONSTRUCTED
new business checklist 2026,SEASONAL,buyer,UNKNOWN,seasonal jan,7,seasonal editions,2,constructed from harvested roots,CONSTRUCTED
black friday tracker small business,SEASONAL,buyer,UNKNOWN,seasonal nov,7,seasonal editions,2,constructed from harvested roots,CONSTRUCTED
christmas market seller spreadsheet,SEASONAL,buyer,UNKNOWN,seasonal oct-dec,7,seasonal editions,2,constructed from harvested roots,CONSTRUCTED
wedding season pricing guide,SEASONAL,buyer,UNKNOWN,seasonal spring,7,seasonal editions,2,constructed from harvested roots,CONSTRUCTED
end of tax year checklist uk,SEASONAL,buyer,UNKNOWN,seasonal mar-apr,7,seasonal editions,2,constructed from harvested roots,CONSTRUCTED
new business gift,GIFT,gift,UNKNOWN,UNKNOWN,4,bundles as gifts,4,constructed from harvested roots,CONSTRUCTED
gift for new business owner,GIFT,gift,UNKNOWN,UNKNOWN,4,bundles as gifts,4,constructed from harvested roots,CONSTRUCTED
small business owner gift,GIFT,gift,UNKNOWN,UNKNOWN,4,bundles as gifts,4,constructed from harvested roots,CONSTRUCTED
gift for freelancer,GIFT,gift,UNKNOWN,UNKNOWN,4,bundles as gifts,4,constructed from harvested roots,CONSTRUCTED
gift for landlord,GIFT,gift,UNKNOWN,UNKNOWN,4,bundles as gifts,4,constructed from harvested roots,CONSTRUCTED
new cleaner business gift,GIFT,gift,UNKNOWN,UNKNOWN,4,bundles as gifts,4,constructed from harvested roots,CONSTRUCTED
self employed gift ideas,GIFT,gift,UNKNOWN,UNKNOWN,4,bundles as gifts,4,constructed from harvested roots,CONSTRUCTED
entrepreneur gift digital,GIFT,gift,UNKNOWN,UNKNOWN,4,bundles as gifts,4,constructed from harvested roots,CONSTRUCTED
starting a cleaning business,OCCASION,problem,UNKNOWN,UNKNOWN,7,starter kits,2,constructed from harvested roots,CONSTRUCTED
starting a gardening business,OCCASION,problem,UNKNOWN,UNKNOWN,7,starter kits,2,constructed from harvested roots,CONSTRUCTED
starting a dog grooming business,OCCASION,problem,UNKNOWN,UNKNOWN,7,starter kits,2,constructed from harvested roots,CONSTRUCTED
going self employed checklist,OCCASION,problem,UNKNOWN,UNKNOWN,7,starter kits,2,constructed from harvested roots,CONSTRUCTED
first year self employed,OCCASION,problem,UNKNOWN,UNKNOWN,7,starter kits,2,constructed from harvested roots,CONSTRUCTED
new landlord checklist,OCCASION,problem,UNKNOWN,UNKNOWN,7,starter kits,2,constructed from harvested roots,CONSTRUCTED
registering as sole trader,OCCASION,problem,UNKNOWN,UNKNOWN,7,starter kits,2,constructed from harvested roots,CONSTRUCTED
leaving employment to freelance,OCCASION,problem,UNKNOWN,UNKNOWN,7,starter kits,2,constructed from harvested roots,CONSTRUCTED
new freelancer kit,OCCASION,problem,UNKNOWN,UNKNOWN,7,starter kits,2,constructed from harvested roots,CONSTRUCTED
first client onboarding,OCCASION,problem,UNKNOWN,UNKNOWN,7,starter kits,2,constructed from harvested roots,CONSTRUCTED
scaling a side hustle,OCCASION,problem,UNKNOWN,UNKNOWN,7,starter kits,2,constructed from harvested roots,CONSTRUCTED
going full time on etsy,OCCASION,problem,UNKNOWN,UNKNOWN,7,starter kits,2,constructed from harvested roots,CONSTRUCTED
recruiter candidate tracker,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,2,constructed from harvested roots,CONSTRUCTED
recruitment agency spreadsheet,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,3,constructed from harvested roots,CONSTRUCTED
estate agent lead tracker,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,2,constructed from harvested roots,CONSTRUCTED
mortgage broker client tracker,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,2,constructed from harvested roots,CONSTRUCTED
insurance agent lead tracker,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,2,constructed from harvested roots,CONSTRUCTED
network marketing tracker,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,2,constructed from harvested roots,CONSTRUCTED
sdr activity tracker,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,2,constructed from harvested roots,CONSTRUCTED
sales activity tracker,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,2,constructed from harvested roots,CONSTRUCTED
b2b lead list template,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,3,constructed from harvested roots,CONSTRUCTED
outreach tracker spreadsheet,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,2,constructed from harvested roots,CONSTRUCTED
linkedin outreach tracker,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,2,constructed from harvested roots,CONSTRUCTED
networking follow up tracker,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,2,constructed from harvested roots,CONSTRUCTED
small agency client tracker,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,2,constructed from harvested roots,CONSTRUCTED
social media manager client tracker,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,2,constructed from harvested roots,CONSTRUCTED
bookkeeper client tracker,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,2,constructed from harvested roots,CONSTRUCTED
accountant workflow spreadsheet,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,3,constructed from harvested roots,CONSTRUCTED
hr tracker small business,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,2,constructed from harvested roots,CONSTRUCTED
employee holiday tracker uk,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,2,constructed from harvested roots,CONSTRUCTED
rota template small business,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,3,constructed from harvested roots,CONSTRUCTED
timesheet template uk,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,3,constructed from harvested roots,CONSTRUCTED
staff hours tracker,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,2,constructed from harvested roots,CONSTRUCTED
supplier comparison spreadsheet,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,3,constructed from harvested roots,CONSTRUCTED
purchase order template small business,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,3,constructed from harvested roots,CONSTRUCTED
stock control spreadsheet,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,3,constructed from harvested roots,CONSTRUCTED
inventory spreadsheet small business,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,3,constructed from harvested roots,CONSTRUCTED
ecommerce profit calculator,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,3,constructed from harvested roots,CONSTRUCTED
amazon seller spreadsheet uk,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,3,constructed from harvested roots,CONSTRUCTED
etsy fee calculator spreadsheet,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,3,constructed from harvested roots,CONSTRUCTED
etsy pricing calculator,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,3,constructed from harvested roots,CONSTRUCTED
product cost calculator,PROFESSIONAL,buyer,UNKNOWN,UNKNOWN,7,sales/ops line,3,constructed from harvested roots,CONSTRUCTED
bookkeeping spreadsheet for small business uk,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,copy/tags,3,constructed from harvested roots,CONSTRUCTED
bookkeeping spreadsheet for self employed,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,copy/tags,3,constructed from harvested roots,CONSTRUCTED
bookkeeping spreadsheet for freelancers,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,copy/tags,3,constructed from harvested roots,CONSTRUCTED
bookkeeping spreadsheet for sole traders,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,copy/tags,3,constructed from harvested roots,CONSTRUCTED
bookkeeping spreadsheet easy to use,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,copy/tags,3,constructed from harvested roots,CONSTRUCTED
bookkeeping spreadsheet with video instructions,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,copy/tags,3,constructed from harvested roots,CONSTRUCTED
bookkeeping spreadsheet beginner friendly,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,copy/tags,3,constructed from harvested roots,CONSTRUCTED
bookkeeping spreadsheet with dashboard,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,copy/tags,3,constructed from harvested roots,CONSTRUCTED
crm spreadsheet for small business uk,LONG TAIL,buyer,UNKNOWN,UNKNOWN,7,copy/tags,3,constructed from harvested roots,CONSTRUCTED
